"CsvFile","CurrentFolder","RelativePath","Delimiter","ColumnOrder","ColumnName","ColumnCount","FileSizeKB","Modified"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","1","project_id","6","0.08","6/15/2026 10:54:56 PM"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","2","Coding No.","6","0.08","6/15/2026 10:54:56 PM"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","3","Supplier","6","0.08","6/15/2026 10:54:56 PM"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","4","Total Quantity","6","0.08","6/15/2026 10:54:56 PM"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","5","Date of delivery","6","0.08","6/15/2026 10:54:56 PM"
"10- contractor_steel_supplied_at_site.csv","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates","projects\The-BIG\data\delay_analysis\steel_delay_tia_templates\10- contractor_steel_supplied_at_site.csv",",","6","Unnamed: 4","6","0.08","6/15/2026 10:54:56 PM"
