"CsvFile","RelativePath","ErrorType","Details"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 8 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 9 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 10 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 11 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 12 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 13 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 14 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 15 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 16 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 17 has 20 columns. Expected 3"
"steel_delay_status_mployer_free_issue_material.csv","projects\The-BIG\data\import_templates\steel_delay_status_mployer_free_issue_material.csv","Irregular Preview Row","Row 18 has 20 columns. Expected 3"
"wbs.csv","projects\The-BIG\data\import_templates\wbs.csv","Irregular Preview Row","Row 3 has 6 columns. Expected 5"
