"FileName","Extension","FileCategory","RelativePath","SizeKB","Modified"
"Overall Contract.pdf",".pdf","PDF Document","projects\The-BIG\2-contracts\source\Overall Contract.pdf","4169.47","4/20/2026 1:33:50 PM"
"README.md",".md","Documentation","projects\The-BIG\2-contracts\source\README.md","0.23","6/19/2026 4:56:53 AM"
