"FileName","Extension","FileCategory","RelativePath","SizeKB","Modified"
"contract_claims.db",".db","Database File","projects\The-BIG\2-contracts\contract_claims.db","84","6/23/2026 5:25:07 PM"
"Overall Contract.pdf",".pdf","PDF Document","projects\The-BIG\2-contracts\Overall Contract.pdf","4169.47","4/20/2026 1:33:50 PM"
