project_id,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors
The Big -P.01-UP-20-April-26,CON-B04-1ST-1050,"RFT for Slabs, Beams & Stairs (B04) (1st)","CON-B04-1ST-1040, CON-B04-1ST-1040, E-APP-B04-1ST-1010, E-APP-B04-1ST-1020, E-APP-B04-1ST-1030, P-MDEL-1120","CON-B04-1ST-1040: SS 4, CON-B04-1ST-1040: FF, E-APP-B04-1ST-1010: FS, E-APP-B04-1ST-1020: FS, E-APP-B04-1ST-1030: FS, P-MDEL-1120: FS",CON-B04-1ST-1060
The Big -P.01-UP-20-April-26,CON-B01-2ND-1010,"RFT for Walls, Col. & Cores (B01) (2nd)","CON-B01-2ND-1000, CON-B01-2ND-1000, E-APP-B01-2ND-1000, P-MDEL-1110","CON-B01-2ND-1000: SS 2, CON-B01-2ND-1000: FF, E-APP-B01-2ND-1000: FS, P-MDEL-1110: FS","CON-B01-2ND-1020, CON-B01-2ND-1020"
The Big -P.01-UP-20-April-26,CON-B01-2ND-1050,"RFT for Slabs, Beams & Stairs (B01) (2nd)","CON-B01-2ND-1040, CON-B01-2ND-1040, E-APP-B01-2ND-1010, E-APP-B01-2ND-1020, E-APP-B01-2ND-1030, P-MDEL-1110","CON-B01-2ND-1040: SS 4, CON-B01-2ND-1040: FF, E-APP-B01-2ND-1010: FS, E-APP-B01-2ND-1020: FS, E-APP-B01-2ND-1030: FS, P-MDEL-1110: FS",CON-B01-2ND-1060
The Big -P.01-UP-20-April-26,CON-B02-2ND-1010,"RFT for Walls, Col. & Cores (B02) (2nd)","CON-B02-2ND-1000, CON-B02-2ND-1000, E-APP-B02-2ND-1000, P-MDEL-1110","CON-B02-2ND-1000: SS 2, CON-B02-2ND-1000: FF, E-APP-B02-2ND-1000: FS, P-MDEL-1110: FS","CON-B02-2ND-1020, CON-B02-2ND-1020"
The Big -P.01-UP-20-April-26,CON-B02-2ND-1050,"RFT for Slabs, Beams & Stairs (B02) (2nd)","CON-B02-2ND-1040, CON-B02-2ND-1040, E-APP-B02-2ND-1010, E-APP-B02-2ND-1020, E-APP-B02-2ND-1030, P-MDEL-1110","CON-B02-2ND-1040: SS 4, CON-B02-2ND-1040: FF, E-APP-B02-2ND-1010: FS, E-APP-B02-2ND-1020: FS, E-APP-B02-2ND-1030: FS, P-MDEL-1110: FS",CON-B02-2ND-1060
The Big -P.01-UP-20-April-26,CON-B03-2ND-1010,"RFT for Walls, Col. & Cores (B03) (2nd)","CON-B03-2ND-1000, CON-B03-2ND-1000, E-APP-B03-2ND-1000, P-MDEL-1110","CON-B03-2ND-1000: SS 3, CON-B03-2ND-1000: FF, E-APP-B03-2ND-1000: FS, P-MDEL-1110: FS","CON-B03-2ND-1020, CON-B03-2ND-1020"
The Big -P.01-UP-20-April-26,CON-B03-2ND-1050,"RFT for Slabs, Beams & Stairs(B03) (2nd)","CON-B03-2ND-1040, CON-B03-2ND-1040, E-APP-B03-2ND-1010, E-APP-B03-2ND-1020, E-APP-B03-2ND-1030, P-MDEL-1110","CON-B03-2ND-1040: SS 4, CON-B03-2ND-1040: FF, E-APP-B03-2ND-1010: FS, E-APP-B03-2ND-1020: FS, E-APP-B03-2ND-1030: FS, P-MDEL-1110: FS",CON-B03-2ND-1060
The Big -P.01-UP-20-April-26,CON-B04-2ND-1010,"RFT for Walls, Col. & Cores (B04) (2nd)","CON-B04-2ND-1000, CON-B04-2ND-1000, E-APP-B04-2ND-1000, P-MDEL-1110","CON-B04-2ND-1000: SS 3, CON-B04-2ND-1000: FF, E-APP-B04-2ND-1000: FS, P-MDEL-1110: FS","CON-B04-2ND-1020, CON-B04-2ND-1020"
The Big -P.01-UP-20-April-26,CON-B04-2ND-1050,"RFT for Slabs, Beams & Stairs (B04) (2nd)","CON-B04-2ND-1040, CON-B04-2ND-1040, E-APP-B04-2ND-1010, E-APP-B04-2ND-1020, E-APP-B04-2ND-1030, P-MDEL-1110","CON-B04-2ND-1040: SS 4, CON-B04-2ND-1040: FF, E-APP-B04-2ND-1010: FS, E-APP-B04-2ND-1020: FS, E-APP-B04-2ND-1030: FS, P-MDEL-1110: FS",CON-B04-2ND-1060
The Big -P.01-UP-20-April-26,CON-B01-3RD-1010,"RFT for Walls, Col. & Cores (B01) (3rd)","CON-B01-3RD-1000, CON-B01-3RD-1000, E-APP-B01-3ED-1000, E-APP-B01-3ED-1010, E-APP-B01-3ED-1020, E-APP-B01-3ED-1030, P-MDEL-1100","CON-B01-3RD-1000: SS 3, CON-B01-3RD-1000: FF, E-APP-B01-3ED-1000: FS, E-APP-B01-3ED-1010: FS, E-APP-B01-3ED-1020: FS, E-APP-B01-3ED-1030: FS, P-MDEL-1100: FS","CON-B01-3RD-1020, CON-B01-3RD-1020"
The Big -P.01-UP-20-April-26,CON-B01-3RD-1050,"RFT for Slabs, Beams & Stairs (B01) (3rd)","CON-B01-3RD-1040, CON-B01-3RD-1040, P-MDEL-1100","CON-B01-3RD-1040: SS 4, CON-B01-3RD-1040: FF, P-MDEL-1100: FS",CON-B01-3RD-1060
The Big -P.01-UP-20-April-26,CON-B02-3RD-1010,"RFT for Walls, Col. & Cores (B02) (3rd)","CON-B02-3RD-1000, CON-B02-3RD-1000, E-APP-B02-3RD-1000, P-MDEL-1100","CON-B02-3RD-1000: SS 2, CON-B02-3RD-1000: FF, E-APP-B02-3RD-1000: FS, P-MDEL-1100: FS","CON-B02-3RD-1020, CON-B02-3RD-1020"
The Big -P.01-UP-20-April-26,CON-B02-3RD-1050,"RFT for Slabs, Beams & Stairs (B02) (3rd)","CON-B02-3RD-1040, CON-B02-3RD-1040, E-APP-B02-3RD-1010, E-APP-B02-3RD-1020, E-APP-B02-3RD-1030, P-MDEL-1100","CON-B02-3RD-1040: SS 4, CON-B02-3RD-1040: FF, E-APP-B02-3RD-1010: FS, E-APP-B02-3RD-1020: FS, E-APP-B02-3RD-1030: FS, P-MDEL-1100: FS",CON-B02-3RD-1060
The Big -P.01-UP-20-April-26,CON-B03-3RD-1010,"RFT for Walls, Col. & Cores (B03) (3rd)","CON-B03-3RD-1000, CON-B03-3RD-1000, E-APP-B03-3RD-1000, P-MDEL-1100","CON-B03-3RD-1000: SS 3, CON-B03-3RD-1000: FF, E-APP-B03-3RD-1000: FS, P-MDEL-1100: FS","CON-B03-3RD-1020, CON-B03-3RD-1020"
The Big -P.01-UP-20-April-26,CON-B03-3RD-1050,"RFT for Slabs, Beams & Stairs (B03) (3rd)","CON-B03-3RD-1040, CON-B03-3RD-1040, E-APP-B03-3RD-1010, E-APP-B03-3RD-1020, E-APP-B03-3RD-1030, P-MDEL-1100","CON-B03-3RD-1040: SS 4, CON-B03-3RD-1040: FF, E-APP-B03-3RD-1010: FS, E-APP-B03-3RD-1020: FS, E-APP-B03-3RD-1030: FS, P-MDEL-1100: FS",CON-B03-3RD-1060
