Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0.0,CON-EW-B01-1010,Soil Compaction Test (B01),Approved Baseline.CON.EW.B01,The Big -P.01-UP-20-April-26,15.0,15.0,6-Nov-25,23-Nov-25,6-Nov-25,23-Nov-25,0.0,0.0,0.0,0.0,0.0,20.0,"CON-EW-B01-1000, CON-EW-B01-1000","CON-B01-FOOT-1000, AB-SUB-B01-REP-1000",20.0,0%,Yes,Yes
0.0,CON-EW-B02-1000,Soil Replacement & Leveling & Compaction (B02),Approved Baseline.CON.EW.B02,The Big -P.01-UP-20-April-26,20.0,20.0,12-Nov-25,4-Dec-25,12-Nov-25,4-Dec-25,0.0,0.0,0.0,0.0,0.0,140.0,"E-APP-B02-REP-1000, P-MDEL-1010, CON-EW-B01-1000","CON-EW-B02-1010, CON-EW-B02-1010, AB-SUB-B02-REP-1000, CON-EW-B03-1000",140.0,0%,Yes,Yes
0.0,CON-EW-B02-1010,Soil Compaction Test (B02),Approved Baseline.CON.EW.B02,The Big -P.01-UP-20-April-26,20.0,20.0,16-Nov-25,8-Dec-25,16-Nov-25,8-Dec-25,0.0,0.0,0.0,0.0,0.0,20.0,"CON-EW-B02-1000, CON-EW-B02-1000","CON-B02-FOOT-1000, AB-SUB-B02-REP-1000",20.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1000,Shuttering for PC Raft (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,26-Nov-25,26-Nov-25,26-Nov-25,26-Nov-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-EW-B01-1010, E-APP-B01-FOOT-1000, P-MDEL-1020",CON-B01-FOOT-1010,0.0,0%,Yes,Yes
0.0,CON-B04-WT-1050,Waterproofing & Ins. Protection works (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,2.0,2.0,26-Nov-25,27-Nov-25,26-Nov-25,27-Nov-25,0.0,0.0,0.0,0.0,0.0,0.0,"P-MDEL-1040, E-APP-B04-FOOT-1000, CON-B04-WT-1040",CON-B04-WT-1060,0.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1010,Pouring for PC Raft (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,27-Nov-25,27-Nov-25,27-Nov-25,27-Nov-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B01-FOOT-1000, P-MDEL-1030","CON-B01-FOOT-1020, AB-SUB-B01-FOOT-1000",0.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1020,Curing for PC Raft (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,3.0,3.0,28-Nov-25,30-Nov-25,28-Nov-25,30-Nov-25,0.0,0.0,0.0,0.0,0.0,0.0,CON-B01-FOOT-1010,"CON-B01-FOOT-1030, CON-B01-FOOT-1030",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1060,Shuttering for RC Raft (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,4.0,4.0,29-Nov-25,2-Dec-25,29-Nov-25,2-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1050, E-APP-B04-WT-1010","CON-B04-WT-1070, AB-SUB-B04-WT-1010, CON-B04-WT-1070",0.0,0%,Yes,Yes
0.0,CON-EW-B03-1000,Soil Replacement & Leveling & Compaction (B03),Approved Baseline.CON.EW.B03,The Big -P.01-UP-20-April-26,20.0,20.0,29-Nov-25,21-Dec-25,29-Nov-25,21-Dec-25,0.0,0.0,0.0,0.0,0.0,140.0,"E-APP-B03-REP-1000, P-MDEL-1010, CON-EW-B02-1000","CON-EW-B03-1010, CON-EW-B03-1010, AB-SUB-B03-REP-1000",140.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1030,Waterproofing & Ins. Protection works (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,2.0,2.0,1-Dec-25,2-Dec-25,1-Dec-25,2-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B01-FOOT-1020, P-MDEL-1040, E-APP-B01-FOOT-1030, CON-B01-FOOT-1020","AB-SUB-B01-FOOT-1010, CON-B01-FOOT-1040",0.0,0%,Yes,Yes
0.0,CON-EW-B03-1010,Soil Compaction Test (B03),Approved Baseline.CON.EW.B03,The Big -P.01-UP-20-April-26,20.0,20.0,2-Dec-25,24-Dec-25,2-Dec-25,24-Dec-25,0.0,0.0,0.0,0.0,0.0,20.0,"CON-EW-B03-1000, CON-EW-B03-1000","CON-B03-FOOT-1000, AB-SUB-B03-REP-1000",20.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1040,Shuttering for RC Raft & Footings (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,12.0,12.0,3-Dec-25,16-Dec-25,3-Dec-25,16-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"E-APP-B01-FOOT-1010, CON-B01-FOOT-1030","CON-B01-FOOT-1050, CON-B01-FOOT-1050, CON-B01-FOOT-1060",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1070,RFT for RC Raft (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,5.0,5.0,3-Dec-25,8-Dec-25,3-Dec-25,8-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1060, E-APP-B04-WT-1020, CON-B04-WT-1060, P-MDEL-1000","CON-B04-WT-1080, AB-SUB-B04-WT-1020",0.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,12.0,12.0,6-Dec-25,18-Dec-25,6-Dec-25,18-Dec-25,0.0,0.0,0.0,0.0,0.0,12.0,"CON-B01-FOOT-1040, E-APP-B01-FOOT-1020, CON-B01-FOOT-1040, P-MDEL-1000",CON-B01-FOOT-1090,12.0,0%,Yes,Yes
