Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,E-DR-1000,Design Review,Approved Baseline.EN.1,The Big -P.01-UP-20-April-26,60,60,11-Sep-25,9-Nov-25,11-Sep-25,9-Nov-25,0,13,0,0,0,0,"KD-MS-1020, KD-MS-1010","E-SUB-B01-BAS02-1000, E-SUB-B01-SOG-1000, E-SUB-B01-BAS01-1000, E-SUB-B01-BAS01-1010, E-SUB-B01-BAS01-1020, E-SUB-B01-BAS01-1030, E-SUB-B01-BAS01-1040, E-SUB-B01-GR-1000, E-SUB-B01-GR-1010, E-SUB-B01-GR-1020, E-SUB-B01-GR-1030, E-SUB-B01-1ST-1000, E-SUB-B01-1ST-1010, E-SUB-B01-1ST-1020, E-SUB-B01-1ST-1030, E-SUB-B01-2ND-1000, E-SUB-B01-2ND-1010, E-SUB-B01-2ND-1020, E-SUB-B01-2ND-1030, E-SUB-B01-3RD-1000, E-SUB-B01-3RD-1010, E-SUB-B01-3RD-1020, E-SUB-B01-3RD-1030, E-SUB-B01-4TH-1000, E-SUB-B01-4TH-1010, E-SUB-B01-4TH-1020, E-SUB-B01-4TH-1030, E-SUB-B01-5TH-1000, E-SUB-B01-5TH-1010, E-SUB-B01-5TH-1020, E-SUB-B01-5TH-1030, E-SUB-B01-6TH-1000, E-SUB-B01-6TH-1010, E-SUB-B01-6TH-1020, E-SUB-B01-6TH-1030, E-SUB-B01-7TH-1000, E-SUB-B01-7TH-1010, E-SUB-B01-7TH-1020, E-SUB-B01-7TH-1030, E-SUB-B01-8TH-1000, E-SUB-B01-8TH-1010, E-SUB-B01-8TH-1020, E-SUB-B01-8TH-1030, E-SUB-B01-RF-1000, E-SUB-B01-RF-1010, E-SUB-B01-RF-1020, E-SUB-B02-BAS02-1000, E-SUB-B02-BAS02-1010, E-SUB-B02-BAS02-1020, E-SUB-B02-BAS02-1030, E-SUB-B02-SOG-1000, E-SUB-B02-SOG-1010, E-SUB-B02-BAS01-1000, E-SUB-B02-BAS01-1010, E-SUB-B02-BAS01-1020, E-SUB-B02-BAS01-1030, E-SUB-B02-GR-1000, E-SUB-B02-GR-1010, E-SUB-B02-GR-1020, E-SUB-B02-GR-1030, E-SUB-B02-1ST-1000, E-SUB-B02-1ST-1010, E-SUB-B02-1ST-1020, E-SUB-B02-1ST-1030, E-SUB-B02-2ND-1000, E-SUB-B02-2ND-1010, E-SUB-B02-2ND-1020, E-SUB-B02-2ND-1030, E-SUB-B02-3RD-1000, E-SUB-B02-3RD-1010, E-SUB-B02-3RD-1020, E-SUB-B02-3RD-1030, E-SUB-B02-4TH-1000, E-SUB-B02-4TH-1010, E-SUB-B02-4TH-1020, E-SUB-B02-4TH-1030, E-SUB-B02-RF-1000, E-SUB-B02-RF-1010, E-SUB-B02-RF-1020, E-SUB-B03-BAS02-1000, E-SUB-B03-BAS02-1010, E-SUB-B03-BAS02-1020, E-SUB-B03-BAS02-1030, E-SUB-B03-SOG-1000, E-SUB-B03-SOG-1010, E-SUB-B03-BAS01-1000, E-SUB-B03-BAS01-1010, E-SUB-B03-BAS01-1020, E-SUB-B03-BAS01-1030, E-SUB-B03-GR-1000, E-SUB-B03-GR-1010, E-SUB-B03-GR-1020, E-SUB-B03-GR-1030, E-SUB-B03-1ST-1000, E-SUB-B03-1ST-1010, E-SUB-B03-1ST-1020, E-SUB-B03-1ST-1030, E-SUB-B03-2ND-1000, E-SUB-B03-2ND-1010, E-SUB-B03-2ND-1020, E-SUB-B03-2ND-1030, E-SUB-B03-3RD-1000, E-SUB-B03-3RD-1010, E-SUB-B03-3RD-1020, E-SUB-B03-3RD-1030, E-SUB-B03-4TH-1000, E-SUB-B03-4TH-1010, E-SUB-B03-4TH-1020, E-SUB-B03-4TH-1030, E-SUB-B03-RF-1000, E-SUB-B03-RF-1010, E-SUB-B03-RF-1020, E-SUB-B04-BAS02-1000, E-SUB-B04-BAS02-1010, E-SUB-B04-BAS02-1020, E-SUB-B04-BAS02-1030, E-SUB-B04-BAS02-1040, E-SUB-B04-SOG-1000, E-SUB-B04-SOG-1010, E-SUB-B04-BAS01-1000, E-SUB-B04-BAS01-1010, E-SUB-B04-BAS01-1020, E-SUB-B04-BAS01-1030, E-SUB-B04-BAS01-1040, E-SUB-B04-GR-1000, E-SUB-B04-GR-1010, E-SUB-B04-GR-1020, E-SUB-B04-GR-1030, E-SUB-B04-1ST-1000, E-SUB-B04-1ST-1010, E-SUB-B04-1ST-1020, E-SUB-B04-1ST-1030, E-SUB-B04-2ND-1000, E-SUB-B04-2ND-1010, E-SUB-B04-2ND-1020, E-SUB-B04-2ND-1030, E-SUB-B04-3RD-1000, E-SUB-B04-3RD-1010, E-SUB-B04-3RD-1020, E-SUB-B04-3RD-1030, E-SUB-B04-4TH-1000, E-SUB-B04-4TH-1010, E-SUB-B04-4TH-1020, E-SUB-B04-4TH-1030, E-SUB-B04-5TH-1000, E-SUB-B04-5TH-1020, E-SUB-B04-5TH-1030, E-SUB-B04-5TH-1010, E-SUB-B04-6TH-1000, E-SUB-B04-6TH-1010, E-SUB-B04-6TH-1020, E-SUB-B04-6TH-1030, E-SUB-B04-7TH-1000, E-SUB-B04-7TH-1010, E-SUB-B04-7TH-1020, E-SUB-B04-7TH-1030, E-SUB-B04-8TH-1000, E-SUB-B04-8TH-1010, E-SUB-B04-8TH-1020, E-SUB-B04-8TH-1030, E-SUB-B04-RF-1000, E-SUB-B04-RF-1010, E-SUB-B04-RF-1020, E-SUB-B01-FOOT-1000, E-SUB-B01-FOOT-1010, E-SUB-B01-FOOT-1020, E-SUB-B01-BAS02-1040, E-SUB-B01-BAS02-1030, E-SUB-B01-BAS02-1010, E-SUB-B01-BAS02-1020, E-SUB-B01-SOG-1010, E-SUB-B01-REP-1000, E-SUB-B01-FOOT-1030, E-SUB-B02-REP-1000, E-SUB-B02-FOOT-1000, E-SUB-B02-FOOT-1030, E-SUB-B02-FOOT-1010, E-SUB-B02-FOOT-1020, E-SUB-B03-REP-1000, E-SUB-B03-FOOT-1010, E-SUB-B03-FOOT-1000, E-SUB-B03-FOOT-1020, E-SUB-B03-FOOT-1030, E-SUB-B04-REP-1000, E-SUB-B04-FOOT-1000, E-SUB-B04-FOOT-1010, E-SUB-B04-FOOT-1020, E-SUB-B04-FOOT-1030, E-SUB-B04-WT-1000, E-SUB-B04-WT-1010, E-SUB-B04-WT-1020, E-SUB-B04-WT-1030, E-SUB-B04-WT-1040",0,0%,No,No
0,,,,The Big -P.01-UP-20-April-26,219,219,11-Sep-25,7-Jun-26,11-Sep-25,7-Jun-26,0,221,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,209,209,11-Sep-25,21-May-26,11-Sep-25,21-May-26,0,221,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,179,179,11-Sep-25,16-Apr-26,11-Sep-25,16-Apr-26,0,251,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,179,179,11-Sep-25,16-Apr-26,11-Sep-25,16-Apr-26,0,251,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,172,172,11-Sep-25,7-Apr-26,11-Sep-25,7-Apr-26,0,229,0,0,0,0,,,0,,,
0,,,,The Big -P.01-UP-20-April-26,18,18,11-Sep-25,1-Oct-25,11-Sep-25,1-Oct-25,0,11,0,0,0,0,,,0,,,
0,E-SUB-B01-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs  (B01),Approved Baseline.EN.2.S.P02.B01.SUB.1,The Big -P.01-UP-20-April-26,18,18,11-Sep-25,1-Oct-25,11-Sep-25,1-Oct-25,0,11,0,0,0,0,E-DR-1000,"E-APP-B01-REP-1000, E-APP-B01-REP-1000",0,0%,No,No
0,,,,The Big -P.01-UP-20-April-26,27,27,1-Oct-25,2-Nov-25,1-Oct-25,2-Nov-25,0,18,0,0,0,0,,,0,,,
0,E-SUB-B01-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs (B01) (footing),Approved Baseline.EN.2.S.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,18,18,1-Oct-25,22-Oct-25,1-Oct-25,22-Oct-25,0,17,0,0,0,0,E-DR-1000,"E-APP-B01-FOOT-1000, E-APP-B01-FOOT-1000, E-SUB-B01-FOOT-1010",0,0%,No,No
