project_id,MEP Activity ID,MEP Schedule Activity ID,Phase,Building / Zone,Activity Name,Original Duration,Start,Finish,Predecessor Activity ID(s),Predecessor Relationship Details,Successor Activity ID(s),Successor Relationship Details,Related Civil Activity ID,Related Civil Activity Name,Related Civil Start,Related Civil Finish,Civil Finish After MEP Insertion,Source Schedule Activity ID,Source Schedule Activity Name,Source WBS,Match Score,Date Basis,Insertion Note
The Big -P.01-UP-20-April-26,MEP-B01-001,MEP-SUB-B01-001,Engineering,B01,Submittal of pipes shopdrawings,18.0,24-Nov-25,12-Dec-25,,,MEP-APP-B01-001,SS +12d; FF +10d,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),04-Oct-26,21-Oct-26,23-Oct-26,E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,115,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B01-001,MEP-APP-B01-001,Engineering,B01,Approval of pipes shopdrawings,10.0,12-Dec-25,22-Dec-25,MEP-SUB-B01-001,SS +12d; FF +10d,MEP-CON-B01-001,FS,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),04-Oct-26,21-Oct-26,23-Oct-26,E-SUB-B01-BAS02-1040,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,115,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B01-001,MEP-PO-B01-001,Procurement,B01,PO creation,2.0,25-Feb-26,27-Feb-26,MEP-APP-B01-001,FS,MEP-DEL-B01-001,FS,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),04-Oct-26,21-Oct-26,23-Oct-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,115,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B01-001,MEP-DEL-B01-001,Procurement,B01,Delivery,3.0,27-Feb-26,02-Mar-26,MEP-PO-B01-001,FS,MEP-CON-B01-001,FS,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),04-Oct-26,21-Oct-26,23-Oct-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,115,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B01-001,MEP-CON-B01-001,Construction,B01,Construction : installation of sleeves for basement (1) Slab (+210m),2.0,04-Oct-26,06-Oct-26,"MEP-APP-B01-001, MEP-DEL-B01-001, CON-B01-SOG-1030, CON-B01-SOG-1030, E-APP-B01-SOG-1010, E-APP-B01-SOG-1000, P-MDEL-1150","Approval FS; Delivery FS; Civil predecessors: CON-B01-SOG-1030: SS 5, CON-B01-SOG-1030: FF, E-APP-B01-SOG-1010: FS, E-APP-B01-SOG-1000: FS, P-MDEL-1150: FS","CON-B01-SOG-1050, CON-B01-SOG-1050, CON-B02-SOG-1040, AB-SUB-B01-SOG-1000",Civil successors after MEP insertion,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),04-Oct-26,21-Oct-26,23-Oct-26,CON-B01-SOG-1040,Shuttering & RFT for S.O.G (B01) (Sog),Approved Baseline.CON.P02.B01.SUB.2ndB.SOG,115,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B01-002,MEP-SUB-B01-002,Engineering,B01,Submittal of pipes shopdrawings,18.0,01-Dec-25,19-Dec-25,,,MEP-APP-B01-002,SS +12d; FF +10d,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),07-Sep-26,16-Sep-26,18-Sep-26,E-SUB-B01-GR-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01),Approved Baseline.EN.2.S.P02.B01.SUP.GF,107,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B01-002,MEP-APP-B01-002,Engineering,B01,Approval of pipes shopdrawings,10.0,19-Dec-25,29-Dec-25,MEP-SUB-B01-002,SS +12d; FF +10d,MEP-CON-B01-002,FS,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),07-Sep-26,16-Sep-26,18-Sep-26,E-SUB-B01-GR-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01),Approved Baseline.EN.2.S.P02.B01.SUP.GF,107,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B01-002,MEP-PO-B01-002,Procurement,B01,PO creation,2.0,25-Feb-26,27-Feb-26,MEP-APP-B01-002,FS,MEP-DEL-B01-002,FS,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),07-Sep-26,16-Sep-26,18-Sep-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,107,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B01-002,MEP-DEL-B01-002,Procurement,B01,Delivery,3.0,27-Feb-26,02-Mar-26,MEP-PO-B01-002,FS,MEP-CON-B01-002,FS,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),07-Sep-26,16-Sep-26,18-Sep-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,107,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B01-002,MEP-CON-B01-002,Construction,B01,Construction : installation of sleeves for ground floor Slab (+214.7),2.0,07-Sep-26,09-Sep-26,"MEP-APP-B01-002, MEP-DEL-B01-002, E-APP-B01-GR-1030, E-APP-B01-GR-1020, CON-B01-GR-1030, CON-B01-BAS01-1140",Approval FS; Delivery FS,"CON-B01-GR-1060, CON-B01-GR-1060",Civil successors after MEP insertion,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),07-Sep-26,16-Sep-26,18-Sep-26,CON-B01-GR-1040,Shuttering for Slabs & Beams (B01) (GR),Approved Baseline.CON.P02.B01.SUP.GF,107,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B01-003,MEP-SUB-B01-003,Engineering,B01,Submittal of pipes shopdrawings,18.0,13-Nov-25,01-Dec-25,,,MEP-APP-B01-003,SS +12d; FF +10d,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,100,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B01-003,MEP-APP-B01-003,Engineering,B01,Approval of pipes shopdrawings,10.0,01-Dec-25,11-Dec-25,MEP-SUB-B01-003,SS +12d; FF +10d,MEP-CON-B01-003,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,100,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B01-003,MEP-PO-B01-003,Procurement,B01,PO creation,2.0,21-Oct-25,23-Oct-25,MEP-APP-B01-003,FS,MEP-DEL-B01-003,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,P-MDEL-1020,Delivery for Plain Concrete,Approved Baseline.P.PC.DS,100,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B01-003,MEP-DEL-B01-003,Procurement,B01,Delivery,3.0,23-Oct-25,26-Oct-25,MEP-PO-B01-003,FS,MEP-CON-B01-003,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,P-MDEL-1020,Delivery for Plain Concrete,Approved Baseline.P.PC.DS,100,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B01-003,MEP-CON-B01-003,Construction,B01,Construction : installation of pVC conduits and boxes for stair 05 from (+205m to +210m),2.0,13-Oct-26,15-Oct-26,"MEP-APP-B01-003, MEP-DEL-B01-003, E-APP-B01-1ST-1030, E-APP-B01-1ST-1020, E-APP-B01-1ST-1010, CON-B01-1ST-1030, CON-B01-GR-1110, E-APP-B01-1ST-1010",Approval FS; Delivery FS,"CON-B01-1ST-1050, CON-B01-1ST-1050",Civil successors after MEP insertion,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",Approved Baseline.CON.P02.B01.SUP.1stF,100,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B01-004,MEP-SUB-B01-004,Engineering,B01,Submittal of pipes shopdrawings,18.0,13-Nov-25,01-Dec-25,,,MEP-APP-B01-004,SS +12d; FF +10d,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,100,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B01-004,MEP-APP-B01-004,Engineering,B01,Approval of pipes shopdrawings,10.0,01-Dec-25,11-Dec-25,MEP-SUB-B01-004,SS +12d; FF +10d,MEP-CON-B01-004,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,E-SUB-B01-BAS02-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (Bas 02),Approved Baseline.EN.2.S.P02.B01.SUB.2ndB,100,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B01-004,MEP-PO-B01-004,Procurement,B01,PO creation,2.0,21-Oct-25,23-Oct-25,MEP-APP-B01-004,FS,MEP-DEL-B01-004,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,P-MDEL-1020,Delivery for Plain Concrete,Approved Baseline.P.PC.DS,100,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B01-004,MEP-DEL-B01-004,Procurement,B01,Delivery,3.0,23-Oct-25,26-Oct-25,MEP-PO-B01-004,FS,MEP-CON-B01-004,FS,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,P-MDEL-1020,Delivery for Plain Concrete,Approved Baseline.P.PC.DS,100,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B01-004,MEP-CON-B01-004,Construction,B01,Construction : installation of pVC conduits and boxes for stair 05 from (+210m to +214.7m),2.0,13-Oct-26,15-Oct-26,"MEP-APP-B01-004, MEP-DEL-B01-004, E-APP-B01-1ST-1030, E-APP-B01-1ST-1020, E-APP-B01-1ST-1010, CON-B01-1ST-1030, CON-B01-GR-1110, E-APP-B01-1ST-1010",Approval FS; Delivery FS,"CON-B01-1ST-1050, CON-B01-1ST-1050",Civil successors after MEP insertion,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",13-Oct-26,27-Oct-26,29-Oct-26,CON-B01-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B01) (1st)",Approved Baseline.CON.P02.B01.SUP.1stF,100,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B02-001,MEP-SUB-B02-001,Engineering,B02,Submittal of pipes shopdrawings,18.0,20-Nov-25,08-Dec-25,,,MEP-APP-B02-001,SS +12d; FF +10d,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),22-Oct-26,08-Nov-26,10-Nov-26,E-SUB-B02-BAS02-1030,Submittal for Slabs Conc. Dim.& RFT DWGs (B02) (Bas 02),Approved Baseline.EN.2.S.P02.B02.SUB.2ndB,115,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B02-001,MEP-APP-B02-001,Engineering,B02,Approval of pipes shopdrawings,10.0,08-Dec-25,18-Dec-25,MEP-SUB-B02-001,SS +12d; FF +10d,MEP-CON-B02-001,FS,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),22-Oct-26,08-Nov-26,10-Nov-26,E-SUB-B02-BAS02-1030,Submittal for Slabs Conc. Dim.& RFT DWGs (B02) (Bas 02),Approved Baseline.EN.2.S.P02.B02.SUB.2ndB,115,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B02-001,MEP-PO-B02-001,Procurement,B02,PO creation,2.0,25-Feb-26,27-Feb-26,MEP-APP-B02-001,FS,MEP-DEL-B02-001,FS,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),22-Oct-26,08-Nov-26,10-Nov-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,115,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B02-001,MEP-DEL-B02-001,Procurement,B02,Delivery,3.0,27-Feb-26,02-Mar-26,MEP-PO-B02-001,FS,MEP-CON-B02-001,FS,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),22-Oct-26,08-Nov-26,10-Nov-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,115,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B02-001,MEP-CON-B02-001,Construction,B02,Construction : installation of sleeves for basement (1) Slab (+210m),2.0,22-Oct-26,24-Oct-26,"MEP-APP-B02-001, MEP-DEL-B02-001, CON-B02-SOG-1030, CON-B02-SOG-1030, CON-B01-SOG-1040, E-APP-B02-SOG-1010, E-APP-B02-SOG-1000, E-APP-B02-SOG-1010, P-MDEL-1150","Approval FS; Delivery FS; Civil predecessors: CON-B02-SOG-1030: SS 5, CON-B02-SOG-1030: FF, CON-B01-SOG-1040: FS, E-APP-B02-SOG-1010: FS, E-APP-B02-SOG-1000: FS, E-APP-B02-SOG-1010: FF, P-MDEL-1150: FS","CON-B02-SOG-1050, CON-B02-SOG-1050, AB-SUB-B02-SOG-1000, AB-SUB-B02-SOG-1010",Civil successors after MEP insertion,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),22-Oct-26,08-Nov-26,10-Nov-26,CON-B02-SOG-1040,Shuttering & RFT for S.O.G (B02) (Sog),Approved Baseline.CON.P02.B02.SUB.2ndB.1,115,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B02-002,MEP-SUB-B02-002,Engineering,B02,Submittal of pipes shopdrawings,18.0,06-Dec-25,24-Dec-25,,,MEP-APP-B02-002,SS +12d; FF +10d,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),10-Aug-26,20-Aug-26,22-Aug-26,E-SUB-B02-GR-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (GF),Approved Baseline.EN.2.S.P02.B02.SUP.GF,107,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B02-002,MEP-APP-B02-002,Engineering,B02,Approval of pipes shopdrawings,10.0,24-Dec-25,03-Jan-26,MEP-SUB-B02-002,SS +12d; FF +10d,MEP-CON-B02-002,FS,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),10-Aug-26,20-Aug-26,22-Aug-26,E-SUB-B02-GR-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (GF),Approved Baseline.EN.2.S.P02.B02.SUP.GF,107,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B02-002,MEP-PO-B02-002,Procurement,B02,PO creation,2.0,25-Feb-26,27-Feb-26,MEP-APP-B02-002,FS,MEP-DEL-B02-002,FS,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),10-Aug-26,20-Aug-26,22-Aug-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,107,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
The Big -P.01-UP-20-April-26,MEP-B02-002,MEP-DEL-B02-002,Procurement,B02,Delivery,3.0,27-Feb-26,02-Mar-26,MEP-PO-B02-002,FS,MEP-CON-B02-002,FS,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),10-Aug-26,20-Aug-26,22-Aug-26,P-MDEL-1150,Delivery for Rebar Patch#4  (SOG),Approved Baseline.P.PC.DS.DR,107,Procurement logic rule + matched BL start,Delivery duration fixed at 3 days after PO creation.
The Big -P.01-UP-20-April-26,MEP-B02-002,MEP-CON-B02-002,Construction,B02,Construction : installation of sleeves for ground floor Slab (+214.7),2.0,10-Aug-26,12-Aug-26,"MEP-APP-B02-002, MEP-DEL-B02-002, CON-B02-GR-1030, CON-B02-BAS01-1110, E-APP-B02-GR-1020, E-APP-B02-GR-1030",Approval FS; Delivery FS,"CON-B02-GR-1060, CON-B02-GR-1060",Civil successors after MEP insertion,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),10-Aug-26,20-Aug-26,22-Aug-26,CON-B02-GR-1040,Shuttering for Slabs & Beams (B02) (GR),Approved Baseline.CON.P02.B02.SUP.GF,107,MEP Activities duration + P6 related civil dates,MEP construction inserted within related civil activity; civil duration increases by the MEP inserted duration.
The Big -P.01-UP-20-April-26,MEP-B02-003,MEP-SUB-B02-003,Engineering,B02,Submittal of pipes shopdrawings,18.0,13-Nov-25,01-Dec-25,,,MEP-APP-B02-003,SS +12d; FF +10d,CON-B02-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B02) (1st)",05-Oct-26,19-Oct-26,21-Oct-26,E-SUB-B02-BAS02-1010,Submittal for Stairs Conc. Dim.& RFT DWGs (B02) (Bas 02),Approved Baseline.EN.2.S.P02.B02.SUB.2ndB,100,Engineering logic rule + matched BL start,Submittal duration fixed at 18 days. Connected to approval by SS +12 days and FF +10 days.
The Big -P.01-UP-20-April-26,MEP-B02-003,MEP-APP-B02-003,Engineering,B02,Approval of pipes shopdrawings,10.0,01-Dec-25,11-Dec-25,MEP-SUB-B02-003,SS +12d; FF +10d,MEP-CON-B02-003,FS,CON-B02-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B02) (1st)",05-Oct-26,19-Oct-26,21-Oct-26,E-SUB-B02-BAS02-1010,Submittal for Stairs Conc. Dim.& RFT DWGs (B02) (Bas 02),Approved Baseline.EN.2.S.P02.B02.SUB.2ndB,100,Engineering logic rule + matched BL start,Approval duration fixed at 10 days and linked to pipe shopdrawing submittal.
The Big -P.01-UP-20-April-26,MEP-B02-003,MEP-PO-B02-003,Procurement,B02,PO creation,2.0,21-Oct-25,23-Oct-25,MEP-APP-B02-003,FS,MEP-DEL-B02-003,FS,CON-B02-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B02) (1st)",05-Oct-26,19-Oct-26,21-Oct-26,P-MDEL-1020,Delivery for Plain Concrete,Approved Baseline.P.PC.DS,100,Procurement logic rule + matched BL start,PO creation duration fixed at 2 days.
