Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,CON-B04-1ST-1050,"RFT for Slabs, Beams & Stairs (B04) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.1stF,The Big -P.01-UP-20-April-26,10,10,9-Jun-26,20-Jun-26,1-Oct-26,13-Oct-26,0.0,-95.0,0,0,0.0,0.0,"CON-B04-1ST-1040, CON-B04-1ST-1040, E-APP-B04-1ST-1010, E-APP-B04-1ST-1020, E-APP-B04-1ST-1030, P-MDEL-1120",CON-B04-1ST-1060,0,0%,Yes,No
0,CON-B03-1ST-1020,"Shuttering for Walls, Col. & Cores (B03) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.1stF,The Big -P.01-UP-20-April-26,12,12,10-Jun-26,23-Jun-26,19-Sep-26,1-Oct-26,0.0,-83.0,0,0,0.0,0.0,"CON-B03-1ST-1010, CON-B03-1ST-1010, E-APP-B03-1ST-1000",CON-B03-1ST-1030,0,0%,Yes,No
0,CON-B01-2ND-1000,"Scaffolding works for Walls, Col. & Cores (B01) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.2ndF,The Big -P.01-UP-20-April-26,5,5,14-Jun-26,18-Jun-26,24-Oct-26,28-Oct-26,0.0,-109.0,0,0,0.0,0.0,CON-B01-1ST-1060,"CON-B01-2ND-1010, CON-B01-2ND-1010",0,0%,Yes,Yes
0,CON-B01-2ND-1010,"RFT for Walls, Col. & Cores (B01) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.2ndF,The Big -P.01-UP-20-April-26,7,7,16-Jun-26,23-Jun-26,26-Oct-26,2-Nov-26,0.0,-109.0,0,0,0.0,1.0,"CON-B01-2ND-1000, CON-B01-2ND-1000, E-APP-B01-2ND-1000, P-MDEL-1110","CON-B01-2ND-1020, CON-B01-2ND-1020",1,0%,Yes,Yes
0,CON-B01-2ND-1020,"Shuttering for Walls, Col. & Cores (B01) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.2ndF,The Big -P.01-UP-20-April-26,7,7,20-Jun-26,27-Jun-26,29-Oct-26,5-Nov-26,0.0,-109.0,0,0,0.0,0.0,"CON-B01-2ND-1010, CON-B01-2ND-1010, E-APP-B01-2ND-1000",CON-B01-2ND-1030,0,0%,Yes,Yes
0,CON-B04-1ST-1060,"Pouring for Slabs, Beams & Stairs (B04) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.1stF,The Big -P.01-UP-20-April-26,3,3,21-Jun-26,23-Jun-26,14-Oct-26,17-Oct-26,0.0,-95.0,0,0,0.0,0.0,"CON-B04-1ST-1050, P-MDEL-1030","CON-B04-1ST-1070, CON-B04-1ST-1080, AB-SUB-B04-1ST-1010, AB-SUB-B04-1ST-1020, AB-SUB-B04-1ST-1030",0,0%,Yes,No
0,CON-B03-1ST-1030,"Pouring for Walls, Col. & Cores (B03) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.1stF,The Big -P.01-UP-20-April-26,2,2,24-Jun-26,25-Jun-26,3-Oct-26,4-Oct-26,0.0,-83.0,0,0,0.0,0.0,"CON-B03-1ST-1020, P-MDEL-1030","CON-B03-1ST-1040, AB-SUB-B03-1ST-1000",0,0%,Yes,No
0,CON-B04-1ST-1070,"Curing for Slabs, Beams & Stairs (B04) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.1stF,The Big -P.01-UP-20-April-26,3,3,24-Jun-26,26-Jun-26,18-Oct-26,20-Oct-26,0.0,-116.0,0,0,0.0,0.0,CON-B04-1ST-1060,CON-B04-2ND-1000,0,0%,Yes,No
0,CON-B03-1ST-1040,"Shuttering for Slabs, Beams & Stairs (B03) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.1stF,The Big -P.01-UP-20-April-26,15,15,27-Jun-26,14-Jul-26,5-Oct-26,22-Oct-26,0.0,-83.0,0,0,0.0,0.0,"E-APP-B03-1ST-1030, E-APP-B03-1ST-1020, E-APP-B03-1ST-1010, CON-B03-1ST-1030, CON-B03-GR-1110","CON-B03-1ST-1050, CON-B03-1ST-1050",0,0%,Yes,No
0,CON-B04-2ND-1000,"Scaffolding works for Walls, Col. & Cores (B04) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.2ndF,The Big -P.01-UP-20-April-26,5,5,27-Jun-26,2-Jul-26,21-Oct-26,26-Oct-26,0.0,-96.0,0,0,0.0,0.0,CON-B04-1ST-1070,"CON-B04-2ND-1010, CON-B04-2ND-1010",0,0%,Yes,No
