milestone_id,project_id,activity_name,planned_date,forecast_date,actual_date,milestone_contractual_type
KD`-MS-1000,The Big -P.01-UP-20-April-26,Project Start Date,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone
KD-MS-1010,The Big -P.01-UP-20-April-26,Contract Agreement,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone
KD-MS-1020,The Big -P.01-UP-20-April-26,IFC Drawing Package,11-Sep-25,11-Sep-25,11-Sep-25,Start milestone
KD-MS-1040,The Big -P.01-UP-20-April-26,Ground Works Finish Date,11-May-26,10-Sep-26,,Finish milestone
